Flight Date,Flight Location,Forest Type,Flight Mission,Curved/Straight,Flight Length,Flight Speed,Altitude,Sensor Angle,Camera Used,FOV,Aperture,Focal Length,Sensor Size
4/23/22,Anonymized Forest Zone 1,Natural,Waypoint1.kml,Curved,805m,5m/s,60m,Nadir,DJI P1,63.5°,f/2.8,35mm,"34x19mm, 45MP"
4/23/22,Anonymized Forest Zone 1,Natural,Waypoint1.kml,Curved,805m,5m/s,80m,Nadir,DJI P1,63.5°,f/2.8,35mm,"34x19mm, 45MP"
4/23/22,Anonymized Forest Zone 1,Natural,Waypoint1.kml,Curved,805m,5m/s,100m,Nadir,DJI P1,63.5°,f/2.8,35mm,"34x19mm, 45MP"
4/23/22,Anonymized Forest Zone 1,Natural,Waypoint1.kml,Curved,805m,5m/s,120m,Nadir,DJI P1,63.5°,f/2.8,35mm,"34x19mm, 45MP"
4/23/22,Anonymized Forest Zone 1,Natural,Manual Control,Both,Varied,Varied (3m/s to 9m/s),60m,Nadir,DJI P1,63.5°,f/2.8,35mm,"34x19mm, 45MP"
4/23/22,Anonymized Forest Zone 1,Natural,Manual Control,Both,Varied,Varied (3m/s to 9m/s),80m,Nadir,DJI P1,63.5°,f/2.8,35mm,"34x19mm, 45MP"
4/23/22,Anonymized Forest Zone 1,Natural,Manual Control,Both,Varied,Varied (3m/s to 9m/s),100m,Nadir,DJI P1,63.5°,f/2.8,35mm,"34x19mm, 45MP"
4/23/22,Anonymized Forest Zone 1,Natural,Manual Control,Both,Varied,Varied (3m/s to 9m/s),120m,Nadir,DJI P1,63.5°,f/2.8,35mm,"34x19mm, 45MP"
5/17/22,Anonymized Forest Zone 1,Natural,Waypoint1.kml,Curved,805m,5m/s,80m,Nadir,DJI P1,63.5°,f/2.8,35mm,"34x19mm, 45MP"
5/17/22,Anonymized Forest Zone 1,Natural,Waypoint1.kml,Curved,805m,5m/s,120m,Nadir,DJI P1,63.5°,f/2.8,35mm,"34x19mm, 45MP"
5/24/22,Anonymized Forest Zone 1,Natural,Waypoint1.kml,Curved,805m,5m/s,120m,Nadir,DJI P1,63.5°,f/2.8,35mm,"34x19mm, 45MP"
9/15/22,Anonymized Forest Zone 1,Plantation Forest,Anonymized.kml,Curved,210m,5m/s,120m,Nadir,DJI P1,63.5°,f/2.8,35mm,"34x19mm, 45MP"
9/15/22,Anonymized Forest Zone 2,Plantation Forest,Anonymized.kml,Straight,210m,5m/s,120m,Nadir,DJI P1,63.5°,f/2.8,35mm,"34x19mm, 45MP"
9/23/22,Anonymized Forest Zone 2,Plantation Forest,Anonymized.kml,Curved,210m,5m/s,120m,Nadir,DJI H20T,82.9°,f/2.8,24mm,"1/2.3"" CMOS, 12 MP"
9/23/22,Anonymized Forest Zone 2,Plantation Forest,Anonymized.kml,Straight,210m,5m/s,120m,Nadir,DJI H20T,82.9°,f/2.8,24mm,"1/2.3"" CMOS, 12 MP"
9/23/22,Anonymized Forest Zone 1,Natural,Waypoint1.kml,Curved,805m,5m/s,120m,Nadir,DJI H20T,82.9°,f/2.8,24mm,"1/2.3"" CMOS, 12 MP"
9/23/22,Anonymized Forest Zone 1,Natural,Waypoint1.kml,Straight,805m,5m/s,120m,Nadir,DJI H20T,82.9°,f/2.8,24mm,"1/2.3"" CMOS, 12 MP"
9/23/22,Anonymized Forest Zone 1,Natural,Anonymized2.kml,Straight,843m,5m/s,120m,Nadir,DJI H20T,82.9°,f/2.8,24mm,"1/2.3"" CMOS, 12 MP"
10/28/22,Anonymized Forest Zone 2,Plantation Forest,Anonymized3.kml,Curved,210m,5m/s,120m,Nadir,DJI H20T,82.9°,f/2.8,24mm,"1/2.3"" CMOS, 12 MP"
10/28/22,Anonymized Forest Zone 2,Plantation Forest,Anonymized4.kml,Straight,210m,5m/s,120m,Nadir,DJI H20T,82.9°,f/2.8,24mm,"1/2.3"" CMOS, 12 MP"
10/28/22,Anonymized Forest Zone 1,Natural,Waypoint1.kml,Curved,805m,5m/s,120m,Nadir,DJI H20T,82.9°,f/2.8,24mm,"1/2.3"" CMOS, 12 MP"
10/28/22,Anonymized Forest Zone 1,Natural,Waypoint1.kml,Straight,805m,5m/s,120m,Nadir,DJI H20T,82.9°,f/2.8,24mm,"1/2.3"" CMOS, 12 MP"
10/28/22,Anonymized Forest Zone 1,Natural,Anonymized5.kml,Straight,843m,5m/s,120m,Nadir,DJI H20T,82.9°,f/2.8,24mm,"1/2.3"" CMOS, 12 MP"